[2018-05-18 10:43:26] [INFO] 149, 插入一条repertory信息到数据仓库, id: 16153, name: 面包2
[2018-05-18 10:43:26] [INFO] 150, 插入一条repertory信息到数据仓库, id: 89648, name: 开森畅饮胃动力
[2018-05-18 10:43:26] [INFO] 151, 插入一条repertory信息到数据仓库, id: 56117, name: 康师傅 绿茶 调味茶饮品（蜂蜜茉莉味）
[2018-05-18 10:43:26] [INFO] 152, 插入一条repertory信息到数据仓库, id: 31467, name: 脉动维生素饮料（青柠口味）600ml
[2018-05-18 10:43:26] [INFO] 153, 插入一条repertory信息到数据仓库, id: 72150, name: 营养快线菠萝味 500ml
[2018-05-18 10:43:26] [INFO] 154, 插入一条repertory信息到数据仓库, id: 6530, name: 可口可乐330ml
[2018-05-18 10:43:26] [INFO] 155, 插入一条repertory信息到数据仓库, id: 33930, name: 鱼怪乖乖鱼尾湘辣味16克
[2018-05-18 10:43:26] [INFO] 156, 插入一条repertory信息到数据仓库, id: 34481, name: 哈哈毛豆 盘
[2018-05-18 10:43:26] [INFO] 157, 插入一条repertory信息到数据仓库, id: 36857, name: 鱼排 鱼尾 盘
[2018-05-18 10:43:26] [INFO] 158, 插入一条repertory信息到数据仓库, id: 32848, name: 老村长酒（大）
[2018-05-18 10:43:26] [INFO] 159, 插入一条repertory信息到数据仓库, id: 61549, name: 妮维雅男士水活多效洁面 100g
[2018-05-18 10:43:26] [INFO] 160, 插入一条repertory信息到数据仓库, id: 36102, name: 雪碧2L
[2018-05-18 10:43:26] [INFO] 161, 插入一条repertory信息到数据仓库, id: 88691, name: 
[2018-05-18 10:43:27] [INFO] 162, 插入一条repertory信息到数据仓库, id: 61242, name: 
[2018-05-18 10:43:27] [INFO] 163, 插入一条repertory信息到数据仓库, id: 54110, name: 250ml伊利纯牛奶
[2018-05-18 10:43:27] [INFO] 164, 插入一条repertory信息到数据仓库, id: 25339, name: 蒙牛酷爱纯脆草莓香草口味脆皮雪糕
[2018-05-18 10:43:27] [INFO] 165, 插入一条repertory信息到数据仓库, id: 46802, name: 黄鹤楼(软蓝)
[2018-05-18 10:43:27] [INFO] 166, 插入一条repertory信息到数据仓库, id: 47300, name: 康师傅 冰红茶（柠檬口味茶饮品）
[2018-05-18 10:43:27] [INFO] 167, 插入一条repertory信息到数据仓库, id: 89649, name: 老K扑克
[2018-05-18 10:43:27] [INFO] 168, 插入一条repertory信息到数据仓库, id: 89650, name: 蓝月亮深层洁净护理洗衣液（自然清香）
[2018-05-18 10:43:27] [INFO] 169, 插入一条repertory信息到数据仓库, id: 75379, name: 咪咪（蓝色）
[2018-05-18 10:43:27] [INFO] 170, 插入一条repertory信息到数据仓库, id: 31685, name: 中华（硬）
[2018-05-18 10:43:27] [INFO] 171, 插入一条repertory信息到数据仓库, id: 89651, name: 香脆豆
[2018-05-18 10:43:27] [INFO] 172, 插入一条repertory信息到数据仓库, id: 58030, name: 青岛醇厚啤酒
[2018-05-18 10:43:27] [INFO] 173, 插入一条repertory信息到数据仓库, id: 89652, name: 厂牌壳 108
[2018-05-18 10:43:27] [INFO] 174, 插入一条repertory信息到数据仓库, id: 89653, name: 厂牌壳  107
[2018-05-18 10:43:27] [INFO] 175, 插入一条repertory信息到数据仓库, id: 89654, name: 旺旺碎碎冰（综合水果味）78ml
[2018-05-18 10:43:27] [INFO] 176, 插入一条repertory信息到数据仓库, id: 89621, name: 香香鳕鱼片145g
